Unnamed: 0,Emotion,Sentence
844,Disgust,em mà biết nó vô văn_hóa thế_thì em cũng làm cách này luôn cho nó nhanh ah : - )
170,Sadness,phải tao tao vứt luôn xe ? ?
1314,Enjoyment,thấy topic đúng tâm_trạng quá .
1385,Sadness,"ngày chia_tay , chúng_tôi đã ôm nhau khóc"
1150,Disgust,ai cũng bận cả và không ai rảnh_rỗi ngày_ngày quan_tâm bạn đâu ?
503,Other,quan_trọng là đồng_nghiệp tốt và sếp
1099,Disgust,ngôi nhà bên dòng sông rõ đẹp . tiếc là sông toàn rác
1685,Enjoyment,quả này cũng chất lắm
613,Enjoyment,nhiều khi nghĩ mình không phải con_gái mà là 1 thằng đàn_ông chính_hiệu k .
1782,Surprise,thằng này đây mí chính là cụ tổ của những chiếc sừng này
981,Disgust,dị_ứng với kiểu nhắn_tin riêng_tư mà cả thế_giới đều biết
526,Anger,vì đồng_tiền mà chúng_mày giết bao_nhiêu gia_đình . chúng_mày ăn những đồng_tiền đấy mà chúng_mày cũng nuốt trôi được à . bọn khốn_nạn
1848,Other,thằng này hình_như nhà bác có 01 chiếc thì phải ?
61,Fear,đầu_óc đến giờ vẫn còn nặng và đang né_tránh mọi người .
255,Other,tao nấu củi chưa nấu bằng rơm bao_giờ 😪
405,Anger,đm ngu . cái nồi cơm_điện chứ gì .
1939,Disgust,dân_trí thấp thế_thì bao_giờ mới phát_triển đất_nước được
1762,Enjoyment,bà nuốt quả chuối tao cười tao ẻ
538,Anger,bọn hại người không gươm không dao . bọn tiêu_diệt nguồn_lực tương_lai của dân_tộc . nên đưa tội thực_phẩm bẩn vào khung tử_hình đi . mong nhà_nước thay_đổi một_số luật_định đi .
1149,Disgust,a triệu mua quả_báo thì quá rẻ_mạt 😞 tiếc là luật có vậy 😏
453,Anger,"sao mày không viết nhanh lên , mày lấy tay chặn làm gì có giúp mày tốt hơn không hả ?"
359,Other,thằng này nhịn ăn để đi
1690,Disgust,quá độc_ác
1720,Surprise,tại_sao mày nằm viện mà vẫn xinh thế ? ?
65,Enjoyment,ph : ) ) phê hơn cả cần nhé . nên mua cái này về dùng tốt cho chó và người : )
741,Enjoyment,tao cười tao ỉa = ) hâhhahhahahahaha
814,Enjoyment,ra xã_hội rồi mới biết mình còn may_mắn hơn rất nhiều người vậy nên hãy trân_trọng những gì mình có 😊
973,Enjoyment,"thằng này một thời mình ở bên nhau 😘 , nhớ ghê"
256,Anger,"bảo không ly_hôn cơ_mà 😑 , dma chơi nhau à"
393,Anger,lâu_lâu mới có dịp ăn bánh trung_thu mà gặp bán hàng halo thế này thì cho ế mẹ luôn không mua_bán gì hết . xem ai bất_hạnh hơn ?
905,Other,sáng_kiến hay đỡ bao nhiều tiền để tiêu_hủy
1789,Enjoyment,"gặp chị này ngoài đời rồi , giọng nhẹ mà hiền lắm nuôn ❤"
118,Other,đội nào cũng xứng_đáng hơi tiếc cho thằng này
39,Fear,hi_vọng trưa nay lúc ăn cơm vtv24 sẽ không đưa tin về bạn này ạ
625,Enjoyment,cần lắm những nhà tuyển_dụng như_vầy : )
834,Sadness,nhà tao có nhưng nó rỉ sét hết rồi : ( (
634,Other,thằng này haha bữa 3 đứa mới phong_trào xong
89,Fear,thằng này không cho anh đi tập đâu nha mất bồ như_chơi
